model_name,rmse,mae,direction_hit
baseline_naive,2.4682678272479626,1.5467208846030178,0.4774867538870351
"ARIMA(1, 1, 1)",2.4852423555962737,1.5343300830321522,0.48151248104376765
"ARIMAX(1, 1, 1)",3.697422356764863,3.089960686693912,0.9155859805926208
baseline_ewma,5.20834197096473,3.510632490793811,0.45901392872332647
